audit_item,pass,evidence
no_external_data_used,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_external_model_selection,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_candidate_selection,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
frozen_candidates_preserved,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
donor_held_out_evaluation_preserved,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
oof_predictions_reused_or_recomputed_safely,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
negative_controls_reported,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
proxy_leakage_risk_audited,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_clean_external_validation_claim,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_causal_claim,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_therapeutic_claim,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_gene_ablation_claim,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_disease_modifying_claim,True,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
safety_audit_pass,True,all safety checks passed
