condition,target,n_donors,pooled_oof_spearman,mse,prediction_variance
covariate_residual_log1p_module_pca_ridge,6e10/A_beta,84,0.5424116634605649,0.38079692409709903,0.16025909478849967
covariate_residual_log1p_module_pca_ridge,AT8,84,0.5534271539941278,0.2130825802616012,0.18522759080202042
covariate_residual_log1p_module_pca_ridge,GFAP,84,0.1675002531132935,0.3981883750092071,0.030649623223393655
covariate_residual_log1p_module_pca_ridge,Iba1,84,-0.11313151766730789,0.21411790752342533,0.006645590419677251
covariate_residual_log1p_module_pca_ridge,NeuN,84,0.45770983092032,0.23964402669044235,0.09986378542021677
rank_int_module_pca_ridge,6e10/A_beta,84,0.4001619925078465,1.3450791882953692,0.06141440416110783
rank_int_module_pca_ridge,AT8,84,0.5254834463906044,0.5725139813852932,0.3541012583546435
rank_int_module_pca_ridge,GFAP,84,0.3122608079376329,3.605536437235707,0.06205252273939958
rank_int_module_pca_ridge,Iba1,84,0.025473321858864025,2.4380960327601033,0.013426922850304118
rank_int_module_pca_ridge,NeuN,84,0.46566771286827985,1.8357926008866228,0.35088751377278554
raw_log1p_metadata_only_ridge,6e10/A_beta,84,0.4815227295737572,0.41488827242840043,0.12263483298646059
raw_log1p_metadata_only_ridge,AT8,84,0.3971246329857245,0.27896434574485524,0.08517672100569668
raw_log1p_metadata_only_ridge,GFAP,84,0.010043535486483752,0.4034217496342026,0.020401650472565355
raw_log1p_metadata_only_ridge,Iba1,84,-0.18086463501063077,0.20726127815530282,0.003443509460941642
raw_log1p_metadata_only_ridge,NeuN,84,-0.0008099625392325605,0.3071522036971997,0.006003725701373833
raw_log1p_module_pca_elasticnet,6e10/A_beta,84,0.35004556039283186,0.476693810519091,0.059028765039699164
raw_log1p_module_pca_elasticnet,AT8,84,0.5327123620532551,0.18596888237566192,0.1625381934898262
raw_log1p_module_pca_elasticnet,GFAP,84,0.25503695454085246,0.37431068142534263,0.023522966721532198
raw_log1p_module_pca_elasticnet,Iba1,84,-0.08973054562289069,0.2120256770380733,0.007370485147820811
raw_log1p_module_pca_elasticnet,NeuN,84,0.4151462994836489,0.24881667214527078,0.08703437891853814
raw_log1p_module_pca_huber,6e10/A_beta,84,0.37576187101346564,0.48635787295371624,0.13352159297474483
raw_log1p_module_pca_huber,AT8,84,0.5546420978029767,0.198917043782555,0.23116803925346183
raw_log1p_module_pca_huber,GFAP,84,0.28152272957375724,0.3921860291015008,0.10219358550116246
raw_log1p_module_pca_huber,Iba1,84,-0.02824744355573555,0.2605097765188591,0.04847761672785781
raw_log1p_module_pca_huber,NeuN,84,0.47192467348385136,0.25180325012155425,0.14440243746881093
raw_log1p_module_pca_ridge,6e10/A_beta,84,0.35271843677229936,0.4811698646789741,0.03399577327195229
raw_log1p_module_pca_ridge,AT8,84,0.5359724612736662,0.18482462786497247,0.16192959656897019
raw_log1p_module_pca_ridge,GFAP,84,0.21368836691303028,0.3824793124962007,0.024986304546837174
raw_log1p_module_pca_ridge,Iba1,84,-0.09755998785056191,0.2068895876871521,0.0035810587252303435
raw_log1p_module_pca_ridge,NeuN,84,0.45544193581046877,0.23803824730763162,0.0991782869990472
raw_log1p_module_pca_ridge_donor_shuffled_control,6e10/A_beta,84,-0.005689986838108739,0.5360293401211449,0.003641946256394365
raw_log1p_module_pca_ridge_donor_shuffled_control,AT8,84,-0.26712564543889844,0.3632347029748732,0.0036636787039160982
raw_log1p_module_pca_ridge_donor_shuffled_control,GFAP,84,-0.1918801255441936,0.408264999600329,0.00533189800680494
raw_log1p_module_pca_ridge_donor_shuffled_control,Iba1,84,-0.19107016300496102,0.2012978605830548,0.0009237769805885901
raw_log1p_module_pca_ridge_donor_shuffled_control,NeuN,84,-0.18805305254631974,0.3041709302791176,0.002328772139498732
winsor_log1p_module_pca_ridge,6e10/A_beta,84,0.3605750734028551,0.48148513104775603,0.03154709079105763
winsor_log1p_module_pca_ridge,AT8,84,0.5277715905639364,0.1899893503555724,0.14284616864702823
winsor_log1p_module_pca_ridge,GFAP,84,0.2164827376733826,0.3817676649714623,0.023728757243200376
winsor_log1p_module_pca_ridge,Iba1,84,-0.09745874253315785,0.20656789086836533,0.0031973948054869828
winsor_log1p_module_pca_ridge,NeuN,84,0.4374607674395059,0.23611509432926667,0.08831839535173233
