source_local_path,filesystem_sha256,bytes,category,historical_or_current,decision_bearing,sensitive_class,generated_class,git_filter_alters_bytes,exact_byte_required,sync_disposition,proposed_repo_path,reason,chronology_class,source_root_kind,old_authority_sha256,delta_status
.gitattributes,fbeda97ea5a35600b93fce34f933d79bde6fffc18731180ac9bbc5def4b28b16,86,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,gitattributes,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,WORKTREE,,CREATED_FOR_COMPLETE_PRESERVATION_SYNC
configs/agent/stage36a_module_counterfactual_agent_v1.yaml,204482e29c8c7102f477e9ed56a3414527cbe0b4fac836afc4f9f537c3703eb1,997,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,configs/agent/stage36a_module_counterfactual_agent_v1.yaml,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,CANONICAL,,CREATED_AFTER_PREFLIGHT
configs/agent/stage36b_local_knowledge_grounding_schema_v1.yaml,0b172441ce3719d000234545ced214779e78a0d8a14d5a88847ed82001a6cfa9,1569,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,configs/agent/stage36b_local_knowledge_grounding_schema_v1.yaml,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,CANONICAL,,CREATED_AFTER_PREFLIGHT
configs/agent/stage36c_ranked_hypothesis_package_v1.yaml,598b31574e2d8ee833284c88a95d47ba81313799d745d370d84930a52c2000f2,1342,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,configs/agent/stage36c_ranked_hypothesis_package_v1.yaml,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,CANONICAL,,CREATED_AFTER_PREFLIGHT
configs/agent/stage36d_validation_handoff_v1.yaml,87c84e9380cfca390d24773ff212cb240f3502ca6d007c20d2a3d15dcc301dbb,1516,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,configs/agent/stage36d_validation_handoff_v1.yaml,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,CANONICAL,,CREATED_AFTER_PREFLIGHT
configs/agent/stage36e_frozen_validation_protocol_v1.yaml,05a506f6e70ec0716aa61817b6e516ecc3231b2bc7cc4978759914c095795303,2169,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,configs/agent/stage36e_frozen_validation_protocol_v1.yaml,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,CANONICAL,,CREATED_AFTER_PREFLIGHT
configs/agent/stage37a_validation_dataset_eligibility_audit_v1.yaml,eb35b561103caf93b0a7640095a1f574e5d9ab7fc300e7059101d6215acc78b1,2184,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,configs/agent/stage37a_validation_dataset_eligibility_audit_v1.yaml,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,CANONICAL,,CREATED_AFTER_PREFLIGHT
configs/agent/stage37b_manual_dataset_approval_v1.yaml,cd37697c79b404c229e63be863375e110613778ebdcd01fedd513a050efea6eb,2190,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,configs/agent/stage37b_manual_dataset_approval_v1.yaml,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,CANONICAL,,CREATED_AFTER_PREFLIGHT
configs/agent/stage37b_rev1_dataset_claim_reclassification_v1.yaml,4b94c452f193cfc50bb14ef1c1823f8e1af7b105ac81110853bee1631f194a1e,3770,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,configs/agent/stage37b_rev1_dataset_claim_reclassification_v1.yaml,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,CANONICAL,,CREATED_AFTER_PREFLIGHT
configs/agent/stage37c_f_multidataset_external_support_v1.yaml,32afe57f52598accff04db55842fb2faffd46b9b9225a0fa24d5b65f1d752b1f,4519,CURRENT_GOVERNANCE,CURRENT,True,REVIEW_SAFE,NOT_GENERATED,False,False,SYNC_CURRENT_CANONICAL,configs/agent/stage37c_f_multidataset_external_support_v1.yaml,CURRENT_CANONICAL_NATURAL_PATH,CURRENT_BYTES__DELTA_20260902,CANONICAL,,CREATED_AFTER_PREFLIGHT
