parameter_id,quantity,production_role,class,production_population,derivation_rule,synthetic_allowed,production_status
D1-P001,teacher_readout_dimension_p,defines state space,A,frozen exact healthy-teacher readout,"consume exact readout contract; do not infer or pool ad hoc",mechanics_only,UNRESOLVED_UNTIL_READOUT_CONTRACT
D1-P002,donor_operator_cell_weights,primary covariance/inference weighting,C,104 fit donors / 4553407 fit cells,"a_dc=1/(|O_d|*n_do), with O_d and n_do derived from full real fit metadata",formula_tests_only,DERIVABLE_NOW_FROM_REAL_METADATA
D1-P003,weighted_teacher_mean_mu,state centering,C,full real teacher states,"weighted streaming mean over every lawful fit cell",formula_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P004,weighted_teacher_covariance_C,latent geometry,C,full real teacher states,"weighted streaming covariance over every lawful fit cell; no coordinate z-scoring",formula_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P005,observed_eigenspectrum,program magnitude geometry,C,full real teacher states,"complete ordered eigendecomposition of C",formula_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P006,null_eigenvalue_envelope,parallel-analysis reference,C,full real teacher states,"independent coordinate permutations within donor x operator strata; same weights; real-data null envelope",algorithm_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P007,D_PA,upper signal-rank bound,C,full real teacher states,"largest contiguous leading rank with observed eigenvalue above corresponding real-data null envelope",algorithm_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P008,donor_bootstrap_subspace_stability,rank stability,C,full real teacher states,"resample donors as blocks; principal-angle/projection overlap; treat uncertain eigengaps as subspaces",algorithm_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P009,D,production latent/program dimension,C,full real teacher states,"largest leading d<=D_PA with real donor-block stability separated from null for every rank 1..d; no fallback",algorithm_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P010,entropy_effective_rank,diagnostic only,C,full real teacher eigenspectrum,"exp(-sum p_j log p_j), p_j=lambda_j/sum lambda",formula_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P011,participation_effective_rank,diagnostic only,C,full real teacher eigenspectrum,"(sum lambda)^2/sum(lambda^2); never alias to entropy effective rank",formula_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P012,program_count_K,primary v1 program count,C,full real teacher geometry,"K=D; no historical rank320 and no 2*D expansion",formula_tests_only,WAIT_D
D1-P013,component_degeneracy_blocks,identity of stable objects,C,full real teacher bootstrap,"adjacent axes form a block when eigengap uncertainty includes zero; interpret stable subspace, not forced PCs",algorithm_tests_only,WAIT_HEALTHY_TRAINED_TEACHER
D1-P014,raw_cell_program_score,cell ranking,C,full real teacher states,"(z_c-mu) dot v_p for isolated axis; retain block coordinates/norm for degenerate subspace",formula_tests_only,WAIT_PROGRAMS
D1-P015,within_donor_centered_score,cell ranking,C,full real teacher states,"raw score minus donor-weighted mean score",formula_tests_only,WAIT_PROGRAMS
D1-P016,score_percentiles,continuous ranking,C,full real score distribution,"weighted empirical global and within-donor percentiles from all lawful fit cells",formula_tests_only,WAIT_PROGRAMS
D1-P017,tail_numeric_cutpoints,descriptive tail views,C,full real score distribution,"weighted empirical quantiles for predeclared multi-resolution tail probabilities; record actual score cutpoints",quantile_tests_only,WAIT_PROGRAMS
D1-P018,resampling_count_B,Monte Carlo precision,B,not biological,"deterministic sequential doubling until predeclared Monte Carlo precision target is met or resource ceiling reached",mechanics_only,PROSPECTIVE_PROCEDURE_CONSTANTS_REQUIRED
D1-P019,neighborhood_scale,optional later localization,C,full real teacher geometry,"not required in D1 v1; any future k/radius/density scale requires separate full-real-data stability/null derivation",mechanics_only,NOT_IN_V1
D1-P020,redundancy_similarity,reporting not collapse,C,full real molecular/program objects,"report continuous similarity matrix; no hard collapse threshold in v1",formula_tests_only,WAIT_PROGRAMS
D1-P021,gene_program_effects,molecular interpretation,C,104 fit donors / 4553407 fit cells / 41238 addresses,"donor/operator-aware association on exact log1p(CP10K) values only where physically measurable; stream sufficient statistics",formula_tests_only,WAIT_PROGRAMS
D1-P022,gene_program_uncertainty,molecular interpretation,C,full real donors,"donor-block uncertainty for gene-program effects",algorithm_tests_only,WAIT_PROGRAMS
D1-P023,program_measurement_support,technical-support separation,C,full real observation-state plus real effects,"sum |effect_gp|*measured_fraction_gp / sum |effect_gp|, with donor-primary full-fit weighting; also source/operator-specific support",formula_tests_only,WAIT_GENE_EFFECTS
D1-P024,donor_recurrence,biological recurrence,C,full real donor-specific effect vectors,"sign-align donor vectors to global program; report donor-to-global cosine distribution and positive-aligned fraction",formula_tests_only,WAIT_GENE_EFFECTS
D1-P025,source_operator_heterogeneity,technical/biological heterogeneity,C,full real donor/source/operator summaries,"continuous stratified effect/angle/variance summaries; no hard inclusion cutoff",formula_tests_only,WAIT_GENE_EFFECTS
D1-P026,novelty_score,post-freeze interpretation,C,real frozen program plus external known annotations,"compute only after program and molecular association objects are frozen; cannot select D/orientation/tails",annotation_tests_only,WAIT_FROZEN_PROGRAMS
D1-P027,canonical_program_ranking,catalog ordering,B/C,full real derived metrics,"no tuned weighted composite; deterministic prospective lexicographic ordering of separate component ranks; publish all component ranks",mechanics_only,PROSPECTIVE_ORDER_REQUIRED
D1-P028,normalization_transform,expression semantics,A,frozen upstream authority,"log1p(raw_count*10000/full_source_library) exactly once; measured zero distinct from unmeasured",mechanics_only,FROZEN_UPSTREAM
D1-P029,molecular_address_registry,identity/support semantics,A,frozen upstream authority,"41,238 controlling Molecular Ledger addresses and observation states",mechanics_only,FROZEN_UPSTREAM
D1-P030,fit_population_counts,population firewall,A,full real fit metadata,"104 donors; 4,553,407 cells; 42 operators; HVS/NPH52/SEA_AD; no protected outcomes",audit_only,FROZEN_OR_DERIVABLE_NOW
