file_name,bytes,sha256,role,production_authority
FOUNDATION_CALIBRATION_BUNDLE_20260824.zip,410278055,07748d5bd21fe0857ccad3002fba3946d1791d25898b841d41056a3707117444,calibration and split/loader/support authority transport,NO_DIRECT_EXECUTION_AUTHORITY
checkpoints.zip,71356460,ab2885f98793fdb11b695371e981ca34677af83d2d196f33ff33fdf98686ef4c,historical checkpoint transport including clean u0 reference,NO_HISTORICAL_U10_U205_RESUME
expression.zip,3599456,1098fd4c3fac7a991f2d51ac86ecd0a7ae94be9373e5cc30b9d81be392d32fd4,real 50000-cell discovery sample transport,AUXILIARY_ONLY_NOT_PRODUCTION_PARAMETER_SOURCE
66e64913-959f-4a7c-bbfe-6ff906fb281d.npz,1531109,001375ec77c5b606ad0972073c1daa6ad14b0e517f05ea23c6c9b3110203ff70,uploaded NPZ artifact,ROLE_REQUIRES_AUTHORITY_TRACE_BEFORE_USE
t1_checkpoint_u0200.zip,233729581,0ec44d004b34d77ccc10445210fedafe5302b6482e509f9ed5752a5691c83a1c,historical u200 checkpoint transport,DEFECT_INHERITED_NOT_RESUMABLE
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.parts.sha256.csv,437,fd003bc8f2f34ac856791dfcf6b0e3b7d81eddfffb8b256d23c3e4a5d40f3356,split-archive transport manifest,AUXILIARY_ONLY
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.part001,303979881,b8163f53a27f7cb1b526f8311d1b46b599502596c5d0be74fa588747a4e72b2e,split archive part 1,AUXILIARY_ONLY
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.part002,303979880,5bc2ec30fb374b15f1c5a4764e1856b0664c13513462ef2f7e224c4b6f856875,split archive part 2,AUXILIARY_ONLY
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip,607959761,63239898b9c93f29c20b62b84dc9b94c2c87e3e3f2b7958b7435847e3b9541f7,reconstructed split archive identity,AUXILIARY_ONLY_NOT_FULL_4553407_POPULATION
WSL execution issue.txt,14576,cd1c50bbec4c80b9b35f1824bba9112c7dbb357ede586b0a46e98532f57e474e,session troubleshooting note,NO_SCIENTIFIC_AUTHORITY
