dataset_or_lineage,primary_role,development_or_evaluation,allowed_use,forbidden_use
local_mtg_rna_final_2024,historical_foundation_source,role_preserved_split_not_frozen,historical_foundation_source,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_ang_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_preserved_split_not_frozen,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_caudate_rna_all_2025,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_preserved_split_not_frozen,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_caudate_xenium_combined_2026,future_spatial_training_and_evaluation_source,role_preserved_split_not_frozen,future_spatial_training_and_evaluation_source,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_fi_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_preserved_split_not_frozen,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_hip_merscope_combined_2026,future_spatial_training_and_evaluation_source,role_preserved_split_not_frozen,future_spatial_training_and_evaluation_source,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_hip_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_preserved_split_not_frozen,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_itg_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_preserved_split_not_frozen,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_lec_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_preserved_split_not_frozen,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_mec_merscope_combined_2026,future_spatial_training_and_evaluation_source,role_preserved_split_not_frozen,future_spatial_training_and_evaluation_source,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_mec_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_preserved_split_not_frozen,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_mtg_atac_final_2024,regulatory_prior_source,role_preserved_split_not_frozen,regulatory_prior_source,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_mtg_merfish_combined_2024,future_spatial_training_and_evaluation_source,role_preserved_split_not_frozen,future_spatial_training_and_evaluation_source,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_mtg_rna_final_2026,primary_foundation_candidate,role_preserved_split_not_frozen,primary_foundation_candidate,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_multiregion_immune_rna_final_2026,microglia_specialization_candidate,role_preserved_split_not_frozen,microglia_specialization_candidate,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_pfc_a9_rna_final_2026,regional_replication_candidate,role_preserved_split_not_frozen,regional_replication_candidate,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_stg_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_preserved_split_not_frozen,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_reassignment_or_clean_validation_claim_before_split_freeze
sea_ad_v1c_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_preserved_split_not_frozen,multiregion_foundation_or_replication_candidate_pending_stage81a2,role_reassignment_or_clean_validation_claim_before_split_freeze
stage27c_35c_expression_module_graph,historical_baseline_and_module_annotation,historical_or_prior_evidence,historical_baseline_and_module_annotation,tf_target_regulatory_prior
stage51_string_graph,generic_interaction_control_or_optional_annotation,historical_or_prior_evidence,generic_interaction_control_or_optional_annotation,microglia_specific_directional_regulation
stage75_79_tf_target_graph,soft_v4b_prior_candidate_with_matched_controls,historical_or_prior_evidence,soft_v4b_prior_candidate_with_matched_controls,validated_grn_causal_controller_or_experimentally_established_direction
motif_enhancer_atac_cistarget_evidence,evidence_features_provenance_uncertainty_and_prior_initialization,historical_or_prior_evidence,evidence_features_provenance_uncertainty_and_prior_initialization,standalone_predictive_or_causal_graph
