scope,item_id,prior_decision,reconsidered_decision,scientific_reason,storage_assessment,authoritative_source,selected_bytes,size_based_eligibility_filter_used
stage81a1b,all_nuclei_duplicates,skip,duplicate_excluded,final_nuclei_consolidated_objects_are_sufficient_for_the_single_model_contract,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,donor_level_duplicates,skip,duplicate_excluded,consolidated_objects_preserve_donor_and_library_metadata,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,local_mtg_rna_final_2024,preserve_deprecated_official_source,metadata_only,historical_foundation_source,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,official_fragments,skip,controlled_access_blocked,controlled_ad_knowledge_portal_access_requires_human_terms_acceptance_and_credentials,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,raw_fastq_bam_and_microscopy,skip,raw_data_excluded,prohibited_by_stage_scope,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_ang_rna_final_2026,download,download_required,multiregion_foundation_or_replication_candidate_pending_stage81a2,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_caudate_rna_all_2025,download,download_required,multiregion_foundation_or_replication_candidate_pending_stage81a2,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_caudate_xenium_combined_2026,download,download_required,future_spatial_training_and_evaluation_source,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_fi_rna_final_2026,download,download_required,multiregion_foundation_or_replication_candidate_pending_stage81a2,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_hip_merscope_combined_2026,download,download_required,future_spatial_training_and_evaluation_source,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_hip_rna_final_2026,download,download_required,multiregion_foundation_or_replication_candidate_pending_stage81a2,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_itg_rna_final_2026,download,download_required,multiregion_foundation_or_replication_candidate_pending_stage81a2,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_lec_rna_final_2026,download,download_required,multiregion_foundation_or_replication_candidate_pending_stage81a2,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_mec_merscope_combined_2026,download,download_required,future_spatial_training_and_evaluation_source,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_mec_rna_final_2026,download,download_required,multiregion_foundation_or_replication_candidate_pending_stage81a2,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_mtg_atac_final_2024,download,download_required,regulatory_prior_source,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_mtg_merfish_combined_2024,download,download_required,future_spatial_training_and_evaluation_source,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_mtg_rna_final_2026,download,download_required,primary_foundation_candidate,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_multiregion_immune_rna_final_2026,download,download_required,microglia_specialization_candidate,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_pfc_a9_rna_final_2026,download,download_required,regional_replication_candidate,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_stg_rna_final_2026,download,download_required,multiregion_foundation_or_replication_candidate_pending_stage81a2,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,sea_ad_v1c_rna_final_2026,download,download_required,multiregion_foundation_or_replication_candidate_pending_stage81a2,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b,standalone_gene_activity_motif_accessibility_peak_to_gene,skip,source_unverified,not_advertised_as_official_processed_products_in_the_consulted_release_catalog,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_ang_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_fi_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_hip_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_itg_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_lec_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_mec_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_mtg_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_pfc_a9_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_stg_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1b_regional_metadata,sea_ad_v1c_rna_final_2026,skip_redundant_metadata_embedded_in_h5ad_obs,duplicate_excluded,required_identity_qc_taxonomy_fields_are_embedded_in_h5ad_obs,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_SEA_AD,not_applicable,False
stage81a1c_n,gse133357_regional_microglia_fpkm,download_useful,download_useful,patient_matched_primary_human_microglia_across_forebrain_and_cerebellum,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n,gse146639_processed_microglia_archive,download_required,download_required,direct_primary_human_microglia_with_non_demented_plaque_free_plaque_positive_and_AD_contexts,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n,gse243292_full_dlpfc_h5ad,download_required,download_required,processed_single_nucleus_object_contains_explicit_normal_pathological_aging_and_AD_donor_contexts,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n,gse243292_readme,download_required,download_required,official_processed_object_documentation,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n,gse97930_cerebellar_umi,download,download_required,approved_processed_reference,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n,gse97930_frontal_cortex_umi,download,download_required,approved_processed_reference,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n,gse97930_readme,download,download_required,approved_processed_reference,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n,gse97930_visual_cortex_umi,download,download_required,approved_processed_reference,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n,gse99074_human_microglia_counts,download_required,download_required,purified_primary_microglia_from_39_intact_cognition_human_donors_with_processed_gene_counts,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n,siletti_hbca_all_non_neuronal,download,download_required,approved_processed_reference,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_normal_reference,not_applicable,False
stage81a1c_n_catalog,700aed19-c16e-4ba8-9191-07da098a8626,duplicate_excluded,duplicate_excluded,exact study-defined subset of the acquired all-non-neuronal holdout partition,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_or_existing_normal_reference,not_applicable,False
stage81a1c_n_catalog,allen_hodge2019_subset_r_package,scientifically_incompatible,scientifically_incompatible,official package is a 50-nuclei-per-cluster subset rather than a whole-study reference,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_or_existing_normal_reference,not_applicable,False
stage81a1c_n_catalog,local_v2_cellxgene_mixed_normal_microglia_anchor,scientifically_incompatible,scientifically_incompatible,mixed 38-dataset sample includes non-adult developmental stages and may overlap the Siletti holdout,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,official_or_existing_normal_reference,not_applicable,False
stage81a1c_p,gse175721_09deb6fed0c6,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse175721_efcc78179a9c,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
