dataset_id,study_id,source_path,primary_role,accepted,whole_study_training_exclusion,limitations
gse133357_regional_microglia_fpkm,GSE133357,data/external/v4/normal_references/gse133357/GSE133357_Unfiltered_Human_microglia_FPKM.csv.gz,regional_primary_microglia_reference,True,False,two_donors_and_FPKM_not_integer_counts
gse146639_processed_microglia_archive,GSE146639,data/external/v4/normal_references/gse146639/GSE146639_RAW.tar,aged_primary_microglia_validation,True,False,mixed_condition_study_and_multiple_assays_require_sample_level_harmonization
gse243292_full_dlpfc_h5ad,GSE243292,data/external/v4/normal_references/gse243292/GSE243292_ADsnRNAseq_GEO.h5ad.gz,aged_normal_and_pathology_context_validation,True,False,mixed_condition_study_not_training_eligible_until_exact_donor_condition_harmonization
gse97930_cerebellar_umi,GSE97930,data/external/v4/normal_references/gse97930/GSE97930_CerebellarHem_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz,normal_training_reference,True,False,processed_region_matrices_lack_explicit_cell_to_donor_mapping
gse97930_frontal_cortex_umi,GSE97930,data/external/v4/normal_references/gse97930/GSE97930_FrontalCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz,normal_training_reference,True,False,processed_region_matrices_lack_explicit_cell_to_donor_mapping
gse97930_visual_cortex_umi,GSE97930,data/external/v4/normal_references/gse97930/GSE97930_VisualCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz,normal_training_reference,True,False,processed_region_matrices_lack_explicit_cell_to_donor_mapping
gse99074_human_microglia_counts,GSE99074,data/external/v4/normal_references/gse99074/GSE99074_HumanMicrogliaBrainCounts.txt.gz,aged_primary_microglia_reference,True,False,bulk_purified_microglia_and_sample_metadata_require_harmonization
allen_hodge2019_subset_r_package,Hodge2019,not_downloaded,technical_compatibility_only,False,False,official package is a 50-nuclei-per-cluster subset rather than a whole-study reference
local_v2_cellxgene_mixed_normal_microglia_anchor,mixed_cellxgene_census_snapshot,data/processed/v2_pretraining/cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,excluded_incompatible,False,False,mixed 38-dataset sample includes non-adult developmental stages and may overlap the Siletti holdout
700aed19-c16e-4ba8-9191-07da098a8626,siletti_human_brain_cell_atlas_v1,not_downloaded,excluded_duplicate,False,True,exact study-defined subset of the acquired all-non-neuronal holdout partition
b165f033-9dec-468a-9248-802fc6902a74,siletti_human_brain_cell_atlas_v1,data/external/v4/normal_references/siletti_hbca/all_non_neuronal.b165f033.h5ad,clean_normal_holdout,True,True,none_beyond_postmortem_and_assay_scope
