test_node_id,failing_dependency_or_path,classification,exercised_new_a3r_code,evidence
tests/v4/test_pre_stage81a2_harmonization.py::test_protected_files_are_unchanged,results/tables/v2_1_gse174367_cell_trajectory_scores.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical artifact absent from clean checkout.
tests/v4/test_stage81a1_multimodal_inventory.py::test_audit_outputs_are_deterministic_and_portable,data/raw/snrna/SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical source object absent from clean checkout.
tests/v4/test_stage81a1_multimodal_inventory.py::test_expression_and_gene_contract,data/raw/snrna/SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical source object absent from clean checkout.
tests/v4/test_stage81a1_multimodal_inventory.py::test_graph_spatial_perturbation_and_roles,data/raw/snrna/SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical source object absent from clean checkout.
tests/v4/test_stage81a1_multimodal_inventory.py::test_protected_signatures_and_source_hashes_are_frozen,results/tables/v2_1_gse174367_cell_trajectory_scores.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical artifact absent from clean checkout.
tests/v4/test_stage81a1b_acquisition_contract.py::test_catalog_mode_is_deterministic_and_portable,results/tables/v2_1_gse174367_cell_trajectory_scores.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Catalog subprocess stops on an absent ignored historical artifact.
tests/v4/test_stage81a1b_acquisition_contract.py::test_protected_signatures_are_unchanged,results/tables/v2_1_gse174367_cell_trajectory_scores.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical artifact absent from clean checkout.
tests/v4/test_stage81a1c_n_normal_references.py::test_catalog_is_deterministic_and_portable,results/tables/v2_1_gse174367_cell_trajectory_scores.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Catalog subprocess stops on an absent ignored historical artifact.
tests/v4/test_stage81a1c_n_normal_references.py::test_protected_signatures_are_unchanged,results/tables/v2_1_gse174367_cell_trajectory_scores.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical artifact absent from clean checkout.
tests/v4/test_stage81a1c_p_perturbation.py::test_protected_signatures_are_unchanged,results/tables/v2_1_gse174367_cell_trajectory_scores.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical artifact absent from clean checkout.
