classification,failure
REMOVED AS UNEARNED,PERCEIVER INFORMATION LOSS
REMOVED AS UNEARNED,CELL-TOKEN INFORMATION LOSS
REMOVED AS UNEARNED,CROSS-ATTENTION ROUTING BOTTLENECK
RESOLVED BY EVALUATION CONTRACT,JEPA LOSS WITH BAD GEOMETRY
RESOLVED BY EVALUATION CONTRACT,FAKE RANK / LOW INFORMATION
REMOVED AS UNEARNED,DETERMINISTIC RESIDUAL-COMPLETION DAMAGE
DOWNSTREAM / NOT YET CLAIMED,CAUSAL-DAG FAILURE
RESOLVED BY EVALUATION CONTRACT,EXACT MISSING-STATE IDENTIFIABILITY FAILURE
RESOLVED BY EVALUATION CONTRACT,IN-SAMPLE COVARIANCE UNDERESTIMATION
RESOLVED BY EVALUATION CONTRACT,OOF COVARIANCE OVERESTIMATION
RESOLVED BY ARCHITECTURE,END-TO-END BELIEF GRADIENT DAMAGE
RESOLVED BY ARCHITECTURE,STRUCTURAL ZERO/UNMEASURED COLLAPSE
RESOLVED BY ARCHITECTURE,STRUCTURAL RAW-VALUE LEAKAGE
REMOVED AS UNEARNED,NEURAL PANEL-EXPOSURE NON-VALUE
REMOVED AS UNEARNED,ADAPTIVE CORRELATED-EVIDENCE NON-VALUE
KNOWN OPEN LIMITATION,STRUCTURAL UNCERTAINTY SCALE MISCALIBRATION
KNOWN OPEN LIMITATION,STRUCTURAL CELL-LEVEL UNCERTAINTY LOCALIZATION FAILURE
DOWNSTREAM / NOT YET CLAIMED,COUNTERFACTUAL FAILURE
