dataset_id,registered_role,allowed_role,forbidden_role,role_status,pathology_supervision_allowed
gse133357_regional_microglia_fpkm,regional_primary_microglia_reference,source_specific_training_or_validation_candidate_as_registered,cross_study_clean_validation_without_whole_study_and_donor_isolation,candidate_not_frozen,False
gse146639_processed_microglia_archive,aged_primary_microglia_validation,source_specific_training_or_validation_candidate_as_registered,cross_study_clean_validation_without_whole_study_and_donor_isolation,candidate_not_frozen,False
gse175721_09deb6fed0c6,amyloid_context_validation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse175721_efcc78179a9c,amyloid_context_validation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse178317_ba77161eeaa1,primary_microglial_perturbation_training,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse178317_f5881facc710,primary_microglial_perturbation_training,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse240609_1155194f2ab8,mechanistic_bulk_validation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse241858_139c1d1976d8,genotype_context_validation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse241858_cb7d87bdeb0f,genotype_context_validation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse243292_full_dlpfc_h5ad,aged_normal_and_pathology_context_validation,source_specific_training_or_validation_candidate_as_registered,cross_study_clean_validation_without_whole_study_and_donor_isolation,candidate_not_frozen,False
gse243292_readme,technical_compatibility_only,source_specific_training_or_validation_candidate_as_registered,cross_study_clean_validation_without_whole_study_and_donor_isolation,candidate_not_frozen,False
gse254205_3bc2196b5493,genotype_context_validation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse254205_8ae26813ce5d,genotype_context_validation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse254205_cff143b59c0c,genotype_context_validation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse254205_fca1d393501d,genotype_context_validation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse293118_1d15aff2e5fa,regulatory_element_perturbation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse293118_6dab6ce5e82e,regulatory_element_perturbation,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse301119_1c0fbaf672ab,myeloid_auxiliary_training,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse301119_5ff4821904a5,myeloid_auxiliary_training,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse311359_7d3438f8c8db,microglial_auxiliary_training,perturbation_calibration_or_validation_candidate_pending_identity_harmonization,causal_controller_ground_truth_or_therapeutic_claim,candidate_not_frozen,False
gse97930_cerebellar_umi,normal_training_reference,source_specific_training_or_validation_candidate_as_registered,cross_study_clean_validation_without_whole_study_and_donor_isolation,candidate_not_frozen,False
gse97930_frontal_cortex_umi,normal_training_reference,source_specific_training_or_validation_candidate_as_registered,cross_study_clean_validation_without_whole_study_and_donor_isolation,candidate_not_frozen,False
gse97930_readme,technical_compatibility_only,source_specific_training_or_validation_candidate_as_registered,cross_study_clean_validation_without_whole_study_and_donor_isolation,candidate_not_frozen,False
gse97930_visual_cortex_umi,normal_training_reference,source_specific_training_or_validation_candidate_as_registered,cross_study_clean_validation_without_whole_study_and_donor_isolation,candidate_not_frozen,False
gse99074_human_microglia_counts,aged_primary_microglia_reference,source_specific_training_or_validation_candidate_as_registered,cross_study_clean_validation_without_whole_study_and_donor_isolation,candidate_not_frozen,False
sea_ad_ang_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_caudate_rna_all_2025,multiregion_foundation_or_replication_candidate_pending_stage81a2,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_caudate_xenium_combined_2026,future_spatial_training_and_evaluation_source,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_fi_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_hip_merscope_combined_2026,future_spatial_training_and_evaluation_source,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_hip_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_itg_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_lec_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_mec_merscope_combined_2026,future_spatial_training_and_evaluation_source,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_mec_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_mtg_atac_final_2024,regulatory_prior_source,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_mtg_merfish_combined_2024,future_spatial_training_and_evaluation_source,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_mtg_rna_final_2026,primary_foundation_candidate,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_multiregion_immune_rna_final_2026,microglia_specialization_candidate,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_pfc_a9_rna_final_2026,regional_replication_candidate,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
sea_ad_stg_rna_final_2026,multiregion_foundation_or_replication_candidate_pending_stage81a2,candidate_foundation_regulatory_or_spatial_source_pending_stage81a2,clean_external_validation_or_pathology_supervision_before_freeze,candidate_not_frozen,False
